419847.8,3819337.575,869.328,419851.653,3819338.612,869.301
419860.433,3819335.026,869.213,419864.483,3819335.284,869.351
419874.941,3819330.052,868.922,419878.04,3819330.951,869.333
419890.017,3819325.552,868.928,419891.871,3819326.505,869.306
419904.575,3819321.117,869.165,419905.428,3819322.172,869.329
419921.453,3819315.844,869.033,419921.274,3819317.043,869.225
419938.745,3819309.046,869.224,419939.043,3819311.232,869.346
419955.495,3819304.927,869.208,419955.531,3819305.876,869.341
419973.354,3819299.266,868.782,419972.752,3819300.402,869.277
419990.84,3819294.039,868.963,419990.339,3819294.814,869.324
420008.989,3819289.19,868.904,420006.645,3819289.681,869.32
420027.229,3819284.238,868.617,420024.509,3819284.202,869.299
420046.948,3819278.346,868.184,420043.009,3819277.941,869.273
420064.047,3819272.197,867.979,420060.403,3819271.246,869.325
420081.664,3819265.623,867.724,420076.423,3819264.895,869.318
420098.481,3819257.968,867.53,420092.893,3819257.542,869.328
420114.548,3819249.57,867.568,420108.991,3819249.637,869.294
420131.59,3819241.04,867.137,420123.343,3819241.637,869.325
420145.011,3819231.569,867.082,420138.236,3819232.411,869.303
420152.267,3819224.037,867.375,420153.403,3819222.962,869.273
420169.941,3819214.893,868.126,420167.472,3819214.187,869.315
420184.558,3819205.732,868.047,420181.816,3819205.188,869.292
420199.007,3819196.361,867.925,420194.965,3819196.089,869.321
420207.56,3819185.646,867.162,420206.369,3819187.115,869.315
420221.221,3819175.469,866.886,420218.503,3819177.47,869.315
420236.204,3819164.369,867.071,420230.449,3819167.382,869.283
420246.431,3819153.147,866.604,420241.39,3819157.858,869.293
420260.971,3819141.644,866.519,420253.511,3819146.771,869.308
420273.187,3819130.173,866.194,420266.363,3819135.122,869.298
420282.944,3819122.168,867.144,420278.394,3819124.257,869.311
420296.027,3819110.417,866.988,420291.426,3819112.164,869.305
420309.131,3819098.481,866.79,420304.181,3819100.072,869.314
420320.407,3819085.736,866.574,420315.105,3819088.551,869.336
420331.293,3819073.328,866.361,420326.206,3819076.252,869.341
420343.282,3819058.754,865.886,420336.478,3819063.738,869.326
420351.777,3819047.459,865.378,420346.196,3819050.896,869.308
420359.682,3819034.255,865.578,420354.907,3819038.396,869.3
420367.707,3819021.942,865.323,420363.424,3819024.677,869.242
420374.486,3819010.563,864.87,420371.293,3819010.409,869.255
420379.551,3818997.698,864.554,420378.159,3818996.926,869.271
420385.686,3818983.649,864.666,420385.288,3818982.109,869.261
420392.063,3818970.799,864.804,420392.42,3818967.514,869.286
420399.407,3818956.256,864.773,420399.19,3818953.588,869.307
420406.19,3818940.769,864.744,420406.408,3818938.438,869.285
420412.547,3818925.985,864.651,420413.349,3818923.068,869.295
420417.502,3818910.616,864.593,420419.377,3818908.261,869.292
420423.591,3818894.784,864.92,420425.394,3818892.233,869.31
420427.858,3818879.235,865.112,420430.861,3818876.322,869.299
420432.952,3818864.723,865.411,420435.507,3818861.082,869.294
420437.399,3818849.208,865.404,420439.867,3818844.625,869.301
420441.866,3818831.487,865.203,420443.677,3818828.284,869.29
420446.539,3818813.251,865.387,420446.84,3818811.504,869.31
420449.43,3818796.871,865.223,420449.37,3818795.84,869.281
420452.448,3818779.741,865.264,420451.616,3818779.179,869.321
420453.521,3818762.429,865.056,420453.215,3818762.191,869.298
420453.968,3818743.094,864.924,420453.812,3818745.988,869.244
420454.806,3818727.421,864.973,420453.753,3818728.459,869.26
420455.765,3818710.621,865.125,420453.325,3818710.601,869.304
420454.982,3818693.187,864.951,420452.535,3818693.411,869.288
420453.964,3818674.656,864.863,420451.28,3818675.56,869.29
420453.516,3818658.892,865.083,420449.561,3818657.158,869.268
420451.268,3818640.125,864.978,420447.302,3818640.092,869.292
420448.515,3818622.498,864.868,420444.388,3818621.7,869.377
420444.767,3818603.9,864.486,420440.649,3818603.426,869.321
420440.514,3818585.595,864.187,420436.552,3818586.154,869.283
420441.414,3818572.184,864.986,420431.53,3818568.224,869.259
420433.51,3818552.075,864.712,420425.68,3818550.19,869.279
420428.397,3818537.451,865.019,420419.473,3818533.38,869.263
420423.636,3818520.348,864.688,420412.158,3818515.803,869.275
420416.078,3818505.481,865.255,420404.201,3818498.453,869.303
420407.953,3818488.899,865.467,420396.069,3818482.103,869.32
420398.038,3818472.833,865.926,420386.923,3818465.317,869.321
420388.142,3818457.924,866.749,420377.043,3818448.65,869.34
420376.982,3818441.153,866.973,420366.525,3818432.542,869.304
420364.928,3818425.389,867.501,420355.928,3818417.988,869.315
420351.169,3818408.48,867.875,420343.856,3818402.892,869.263
420337.274,3818393.09,867.93,420330.96,3818388.025,869.217
420323.566,3818378.004,868.141,420318.355,3818374.931,869.158
420308.4,3818362.403,868.298,420304.64,3818360.959,869.204
420293.697,3818349.229,868.745,420290.563,3818347.655,869.197
420279.288,3818335.954,868.946,420277.139,3818335.567,869.159
420264.658,3818323.892,869.124,420262.059,3818323.159,869.196
420249.955,3818313.77,869.205,420246.156,3818311.203,869.258
420232.235,3818299.239,869.283,420231.185,3818300.792,869.24
420218.257,3818289.485,869.86,420215.114,3818290.612,869.225
420197.553,3818278.89,869.313,420198.408,3818281.436,869.189
420181.431,3818271.248,869.381,420182.455,3818274.362,869.217
420162.986,3818264.392,869.019,420164.577,3818267.748,869.251
420147.252,3818259.685,868.66,420146.061,3818261.805,869.324
420126.811,3818253.278,868.508,420128.564,3818256.741,869.355
420104.703,3818248.741,867.687,420109.234,3818252.247,869.315
420086.76,3818246.199,867.684,420089.825,3818249.197,869.326
420066.969,3818249.344,868.556,420070.704,3818247.586,869.194
420047.034,3818248.334,868.089,420052.23,3818246.524,869.111
420026.882,3818246.423,867.744,420031.919,3818245.368,869.124
420006.943,3818245.114,867.539,420011.146,3818243.993,869.146
419985.799,3818244.799,867.825,419990.282,3818242.731,869.294
419966.136,3818245.387,868.144,419967.951,3818241.703,869.22
419943.318,3818245.282,868.491,419945.251,3818240.567,869.376
419924.104,3818244.438,869.024,419923.562,3818239.533,869.496
419902.812,3818243.838,868.989,419901.232,3818238.616,869.409
419883.319,3818242.317,868.919,419879.266,3818237.474,869.387
419860.189,3818242.189,869.148,419858.312,3818236.324,869.445
419837.498,3818239.456,869.097,419835.887,3818235.186,869.41
419814.921,3818237.948,869.08,419814.014,3818234.043,869.393
419790.72,3818235.807,869.115,419793.058,3818232.671,869.373
419769.74,3818232.71,869.165,419770.446,3818231.091,869.368
419745.292,3818232.828,869.086,419748.386,3818229.617,869.455
419722.329,3818231.468,868.94,419727.064,3818228.47,869.503
419698.46,3818227.45,869.075,419704.27,3818227.114,869.438
419675.423,3818226.124,869.008,419681.293,3818225.759,869.317
419650.329,3818224.354,868.302,419658.131,3818224.406,869.352
419625.371,3818222.95,867.797,419635.428,3818222.827,869.349
419599.965,3818220.219,867.222,419610.978,3818221.153,869.304
419574.686,3818219.656,866.422,419586.896,3818219.586,869.444
419557.39,3818219.507,867.327,419563.642,3818218.123,869.422
419532.89,3818216.897,866.976,419539.56,3818216.556,869.379
419510.465,3818215.862,866.374,419515.296,3818215.102,869.294
419485.322,3818217.427,866.203,419493.052,3818213.631,869.328
419467.138,3818213.416,867.106,419469.155,3818212.174,869.358
419441.921,3818210.844,867.037,419445.259,3818210.827,869.342
419418.044,3818208.165,866.901,419422.006,3818209.476,869.326
419393.122,3818206.634,866.862,419396.823,3818208.03,869.426
419371.101,3818204.368,867.812,419370.995,3818206.368,869.438
419347.121,3818202.345,867.802,419346.729,3818204.803,869.409
419324.127,3818200.193,867.679,419321.453,3818203.248,869.372
419298.016,3818198.376,868.369,419296.269,3818201.691,869.355
419272.61,3818197.481,868.633,419272.464,3818200.234,869.342
419247.643,3818197.144,868.898,419247.097,3818198.79,869.401
419223.022,3818196.693,868.783,419221.822,3818197.346,869.358
419196.249,3818194.366,869.446,419197.741,3818195.891,869.392
419168.43,3818193.883,868.982,419172.099,3818194.45,869.383
419143.523,3818193,868.911,419145.63,3818193.127,869.394
419114.789,3818193.102,868.911,419118.612,3818191.919,869.374
419086.653,3818191.817,868.958,419093.064,3818190.81,869.404
419061.025,3818189.488,868.685,419066.23,3818189.602,869.359
419033.376,3818188.118,868.176,419039.852,3818188.167,869.415
419004.527,3818185.453,867.431,419016.322,3818186.708,869.406
418982.899,3818184.448,868.021,418990.77,3818185.045,869.364
418959.445,3818182.266,867.861,418966.411,3818183.371,869.424
418936.12,3818180.027,867.791,418943.525,3818182.017,869.402
418914.815,3818179.01,867.863,418919.996,3818180.559,869.452
418893.286,3818176.403,868.516,418895.73,3818178.995,869.468
418869.226,3818174.159,868.715,418873.213,3818177.86,869.562
418843.977,3818173.212,867.911,418848.868,3818177.74,869.402
418815.434,3818173.626,867.158,418824.713,3818178.284,869.301
418794.709,3818175.684,867.173,418801.853,3818179.926,869.324
418772.611,3818178.811,867.106,418778.28,3818184.015,869.483
418749.974,3818184.843,867.024,418754.91,3818190.321,869.46
418723.248,3818193.867,867.12,418733.756,3818197.939,869.43
418684.592,3818215.22,862.844,418712.253,3818207.669,869.448
418676.424,3818216.706,864.672,418691.588,3818218.611,869.38
418657.344,3818229.641,864.76,418671.76,3818230.767,869.352
418639.723,3818241.36,864.233,418653.861,3818242.905,869.352
418627.975,3818251.67,865.435,418635.333,3818256.714,869.44
418614.889,3818263.154,865.463,418617.914,3818271.178,869.408
418598.671,3818277.275,865.894,418602.241,3818285.738,869.424
418588.401,3818291.304,866.787,418586.222,3818302.742,869.428
418572.938,3818308.264,867.27,418571.227,3818321.179,869.38
418559.33,3818329.664,867.241,418558.251,3818339.488,869.331
418547.039,3818350.593,867.941,418544.651,3818360.021,869.367
418535.093,3818370.213,868.697,418531.509,3818380.328,869.379
418520.852,3818391.201,869.091,418519.547,3818398.96,869.353
418508.858,3818409.236,870.426,418506.77,3818418.932,869.385
418493.074,3818429.011,871.355,418494.084,3818438.902,869.36
418477.907,3818453.082,870.209,418482.123,3818457.646,869.33
418461.519,3818479.583,868.417,418469.348,3818477.839,869.328
418449.709,3818504.626,866.783,418456.935,3818497.474,869.302
418438.764,3818523.851,866.633,418445.246,3818515.771,869.296
418424.83,3818541.64,866.438,418432.923,3818535.184,869.271
418412.959,3818557.759,866.692,418420.143,3818554.822,869.3
418399.033,3818579.904,866.182,418407.364,3818574.572,869.292
418384.759,3818599.66,866.006,418395.221,3818593.539,869.344
418370.956,3818617.958,866.225,418382.08,3818613.846,869.376
418359.53,3818636.613,866.185,418369.123,3818634.152,869.372
418348.533,3818656.014,865.811,418356.799,3818653.454,869.315
418336.566,3818675.718,866.548,418343.661,3818674.094,869.322
